step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFlaggedFraud,type_CASH_IN,type_CASH_OUT,type_DEBIT,type_PAYMENT,type_TRANSFER,isFraud
682,90978.62753559162,90978.62753559162,0.0,932142.4338608314,1023121.061396423,0,False,True,False,False,False,1
163,15382.71,19845.55,4462.85,0.0,0.0,0,False,False,False,True,False,0
11,10201.034573050849,10201.034573050849,0.0,0.0,0.0,0,False,False,False,False,True,1
652,572906.6139119663,572906.6139119663,0.0,0.0,0.0,0,False,False,False,False,True,1
17,1024705.02,426948.0,0.0,1640.0,1026345.02,0,False,False,False,False,True,0
333,79234.21,11947321.94,12026556.15,148661.84,69427.64,0,True,False,False,False,False,0
288,3024.83,19961.0,16936.17,2149263.83,2152288.65,0,False,False,True,False,False,0
288,596749.0315862013,596749.0315862013,0.0,0.0,0.0,0,False,False,False,False,True,1
15,342692.32,10486.0,353178.32,0.0,0.0,0,True,False,False,False,False,0
355,196009.06,0.0,0.0,309438.09,505447.15,0,False,True,False,False,False,0
522,1016284.9455658821,1016284.9455658821,0.0,0.0,0.0,0,False,False,False,False,True,1
110,2198968.6599972276,2198968.6599972276,0.0,0.0,0.0,0,False,False,False,False,True,1
331,139295.21,3818105.32,3957400.53,2501649.58,2446702.67,0,True,False,False,False,False,0
345,132973.41,132973.41,0.0,0.0,132973.41,0,False,True,False,False,False,1
185,436012.18,51508.0,0.0,2624.48,319474.1,0,False,True,False,False,False,0
687,676296.412689213,676296.412689213,0.0,2203393.025811561,2879689.4484053436,0,False,True,False,False,False,1
231,352503.09,5145.0,0.0,0.0,352503.09,0,False,True,False,False,False,0
156,17096.89,170399.77,153302.88,0.0,0.0,0,False,False,False,True,False,0
207,24369.19,0.0,0.0,717071.16,741440.36,0,False,True,False,False,False,0
20,58361.33,68475.0,10113.67,27719.62,86080.94,0,False,True,False,False,False,0
388,291954.9153297643,291954.9153297643,0.0,8929.376846536754,286219.9084316533,0,False,True,False,False,False,1
437,101392.92,101392.92,0.0,614050.05,715442.97,0,False,True,False,False,False,1
61,55062.46,55062.46,0.0,0.0,55062.46,0,False,True,False,False,False,1
419,653398.5331615988,653398.5331615988,0.0,0.0,0.0,0,False,False,False,False,True,1
282,78328.09,0.0,0.0,1912983.31,1991311.4,0,False,True,False,False,False,0
131,9329.95,10084.0,754.05,0.0,0.0,0,False,False,False,True,False,0
582,463228.81562205474,463228.81562205474,0.0,153455.7591809461,616684.5748030008,0,False,True,False,False,False,1
386,5456301.619124317,5456301.619124317,0.0,0.0,0.0,0,False,False,False,False,True,1
305,4397799.119194341,4397799.119194341,0.0,4516958.930730345,8914758.049924685,0,False,True,False,False,False,1
524,90957.71,1197250.07,1288207.77,182730.0,91772.29,0,True,False,False,False,False,0
164,124106.9,717.0,124823.9,1001507.5,877400.6,0,True,False,False,False,False,0
428,616140.3843625605,616140.3843625605,0.0,0.0,616140.3843625605,0,False,True,False,False,False,1
655,49295.76678973537,49295.76678973537,0.0,0.0,49295.76678973537,0,False,True,False,False,False,1
397,382402.38,151638.24,0.0,1109367.12,1491769.5,0,False,False,False,False,True,0
157,12512.98,55694.0,43181.02,0.0,0.0,0,False,False,False,True,False,0
349,6117.14,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
178,1090.15,11510.0,10419.85,0.0,0.0,0,False,False,False,True,False,0
43,78495.9,0.0,0.0,199756.86,666541.78,0,False,True,False,False,False,0
226,82869.09,82869.09,0.0,104258.05,187127.14,0,False,True,False,False,False,1
164,2247313.011214475,2247313.011214475,0.0,408206.6711359943,2655519.6823504698,0,False,True,False,False,False,1
197,1813182.7123815774,1813182.7123815774,0.0,0.0,0.0,0,False,False,False,False,True,1
440,398051.06368644646,398051.06368644646,0.0,0.0,0.0,0,False,False,False,False,True,1
163,4738077.336570028,4738077.336570028,0.0,0.0,0.0,0,False,False,False,False,True,1
352,247207.6,0.0,0.0,2989649.25,2952628.25,0,False,True,False,False,False,0
47,18178.17,52448.0,34269.83,0.0,0.0,0,False,False,False,True,False,0
332,13332.37,22242.0,35574.37,96408.31,83075.94,0,True,False,False,False,False,0
348,284194.93,0.0,0.0,1145140.37,1429335.3,0,False,False,False,False,True,0
307,4503.04,34720.5,30217.47,0.0,0.0,0,False,False,False,True,False,0
281,309567.76,0.0,0.0,548915.21,858482.97,0,False,True,False,False,False,0
184,180379.03,22696.0,203075.03,0.0,0.0,0,True,False,False,False,False,0
506,10000000.0,17041719.54,7041719.54,0.0,0.0,0,False,False,False,False,True,1
540,342970.95,342970.95,0.0,0.0,0.0,0,False,False,False,False,True,1
254,185682.99,30990.0,216672.99,0.0,0.0,0,True,False,False,False,False,0
159,224661.54,224661.54,0.0,0.0,0.0,0,False,False,False,False,True,1
34,141235.64,55212.0,0.0,10722.17,151957.8,0,False,True,False,False,False,0
173,286217.27145486965,286217.27145486965,0.0,0.0,0.0,0,False,False,False,False,True,1
352,7454553.06,7454553.06,0.0,0.0,7454553.06,0,False,True,False,False,False,1
40,9981.8,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
284,1531.71,22881.0,21349.29,0.0,0.0,0,False,False,False,True,False,0
47,1817570.9773371192,1817570.9773371192,0.0,1791246.7390861234,3608817.7181649907,0,False,True,False,False,False,1
330,187887.89,0.0,0.0,597274.47,785162.36,0,False,True,False,False,False,0
340,857590.9466965552,857590.9466965552,0.0,2969838.1403131178,3827429.084918562,0,False,True,False,False,False,1
394,167945.85,0.0,0.0,12556946.77,12724892.62,0,False,True,False,False,False,0
177,15139.98,20963.0,5823.02,0.0,0.0,0,False,False,False,True,False,0
154,7858.38,2800850.98,2808709.35,368684.46,360826.08,0,True,False,False,False,False,0
19,22860.16,279038.36,256178.2,0.0,0.0,0,False,False,False,True,False,0
524,147056.07,157574.0,304630.07,753438.05,606381.99,0,True,False,False,False,False,0
189,4267.31,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
470,6171861.373196454,6171861.373196454,0.0,2512.6399563040554,6174374.013152757,0,False,True,False,False,False,1
160,269832.8,50775.0,0.0,284061.12,553893.92,0,False,True,False,False,False,0
697,378623.9,378623.9,0.0,0.0,378623.9,0,False,True,False,False,False,1
301,1425414.4415490276,1425414.4415490276,0.0,0.0,1425414.4415490276,0,False,True,False,False,False,1
15,28018.61,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
380,78595.76,32549.0,0.0,998690.44,1077286.2,0,False,True,False,False,False,0
235,208862.78,0.0,0.0,1354957.05,1563819.82,0,False,True,False,False,False,0
282,5517.47,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
231,567105.44,20272.0,587377.44,718040.64,150935.2,0,True,False,False,False,False,0
565,736625.2369631927,736625.2369631927,0.0,0.0,0.0,0,False,False,False,False,True,1
595,265283.31,132.0,0.0,2165112.74,2430396.06,0,False,True,False,False,False,0
344,1709522.606773919,1709522.606773919,0.0,0.0,0.0,0,False,False,False,False,True,1
226,122423.08,0.0,0.0,171552.32,293975.4,0,False,True,False,False,False,0
274,1485.96,11493.0,10007.04,0.0,0.0,0,False,False,False,True,False,0
646,10000000.0,10000000.0,0.0,0.0,10000000.0,0,False,True,False,False,False,1
487,5507.69,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
215,10979.03,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
657,83151.53054260419,83151.53054260419,0.0,0.0,83151.53054260419,0,False,True,False,False,False,1
415,167015.9387860087,167015.9387860087,0.0,89788.96014538383,256804.89893139253,0,False,True,False,False,False,1
113,2066433.9546027794,2066433.9546027794,0.0,6003.406293647575,2072437.360896427,0,False,True,False,False,False,1
130,161707.47,0.0,0.0,2205574.26,2367281.73,0,False,True,False,False,False,0
400,204345.13,11005.0,215350.13,37523126.89,37318781.76,0,True,False,False,False,False,0
326,22278.302584674362,22278.302584674362,0.0,74158.69803842182,96437.00788489,0,False,True,False,False,False,1
212,4707.880469464211,4707.880469464211,0.0,0.0,4707.880469464211,0,False,True,False,False,False,1
610,33964.87,33964.87,0.0,0.0,33964.87,0,False,True,False,False,False,1
120,528295.6541460487,528295.6541460487,0.0,233549.2905928868,761844.9447389354,0,False,True,False,False,False,1
37,436829.39,0.0,0.0,887889.08,1324718.47,0,False,True,False,False,False,0
403,1088.14,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
241,989966.55,989966.55,0.0,0.0,0.0,0,False,False,False,False,True,1
426,146307.9,345032.24,198724.33,629217.07,775524.97,0,False,True,False,False,False,0
179,19004.86,86.0,0.0,0.0,0.0,0,False,False,False,True,False,0
153,12110.56,2960.1,0.0,0.0,0.0,0,False,False,False,True,False,0
162,3422.36,15245.0,11822.64,0.0,0.0,0,False,False,False,True,False,0
184,262992.88,0.0,0.0,896041.89,1159034.76,0,False,True,False,False,False,0
564,3968964.4,3968964.4,0.0,419593.77,4388558.17,0,False,True,False,False,False,1
498,9593838.63,9593838.63,0.0,0.0,0.0,0,False,False,False,False,True,1
363,56231.05,56231.05,0.0,0.0,56231.05,0,False,True,False,False,False,1
513,222789.83914620714,222789.83914620714,0.0,0.0,0.0,0,False,False,False,False,True,1
325,2059578.8627474667,2059578.8627474667,0.0,4154704.6349718743,6214283.497719341,0,False,True,False,False,False,1
404,1085.9,8174.1,7088.2,0.0,0.0,0,False,False,False,True,False,0
564,2472250.47,2472250.47,0.0,4136.88,2476387.35,0,False,True,False,False,False,1
348,291264.2,291264.2,0.0,439892.58,731156.78,0,False,True,False,False,False,1
380,243391.83,0.0,0.0,9294622.87,9538014.7,0,False,False,False,False,True,0
564,158199.71,31299.0,189498.71,176395.29,18195.58,0,True,False,False,False,False,0
19,1604.86,30226.0,28621.14,0.0,0.0,0,False,False,False,True,False,0
563,96989.06,96989.06,0.0,0.0,0.0,0,False,False,False,False,True,1
184,54875.26,1960209.06,2015084.32,930978.57,876103.3,0,True,False,False,False,False,0
162,9434.76,5743818.79,5753253.55,629656.61,620221.85,0,True,False,False,False,False,0
400,253401.44,0.0,0.0,869912.13,1123313.57,0,False,True,False,False,False,0
422,61485.83573412304,61485.83573412304,0.0,0.0,0.0,0,False,False,False,False,True,1
46,10822.41,354214.21,343391.8,0.0,0.0,0,False,False,False,True,False,0
65,405882.8369809271,405882.8369809271,0.0,1272570.6013288486,1678453.4383097757,0,False,True,False,False,False,1
544,179997.78,179997.78,0.0,55751.58,235749.36,0,False,True,False,False,False,1
11,493053.11,23241.76,0.0,0.0,493053.11,0,False,True,False,False,False,0
318,3324196.5115506174,3324196.5115506174,0.0,259984.32521758048,3584180.830807763,0,False,True,False,False,False,1
351,55422.52,52119.0,107541.52,0.0,0.0,0,True,False,False,False,False,0
249,22210.1,14432.0,0.0,0.0,0.0,0,False,False,False,True,False,0
546,105097.16,105097.16,0.0,1965333.76,2070430.91,0,False,True,False,False,False,1
718,1293595.52,1293595.52,0.0,0.0,0.0,0,False,False,False,False,True,1
259,24333.16,2076604.77,2100937.94,965475.43,1004862.67,0,True,False,False,False,False,0
543,2558618.27,2558618.27,0.0,0.0,0.0,0,False,False,False,False,True,1
442,503824.9791511013,503824.9791511013,0.0,0.0,503824.9791511013,0,False,True,False,False,False,1
249,3879669.76,3879669.76,0.0,0.0,0.0,0,False,False,False,False,True,1
187,222988.01,5602.0,0.0,0.0,222988.01,0,False,True,False,False,False,0
523,497928.97,497928.97,0.0,0.0,0.0,0,False,False,False,False,True,1
548,10000000.0,13020507.367067507,3020507.367067506,0.0,0.0,0,False,False,False,False,True,1
10,302332.34,65137.0,0.0,150034.92,294931.93,0,False,True,False,False,False,0
40,72164.16,0.0,0.0,1088711.21,1267790.68,0,False,True,False,False,False,0
26,369186.87,369186.87,0.0,36224.11,405410.97,0,False,True,False,False,False,1
146,167633.55637496125,167633.55637496125,0.0,234141.48130587762,401775.0376808389,0,False,True,False,False,False,1
404,3550.54,2362245.06,2365795.6,563965.2,560414.66,0,True,False,False,False,False,0
277,2985071.4224768756,2985071.4224768756,0.0,0.0,0.0,0,False,False,False,False,True,1
582,2658283.664754962,2658283.664754962,0.0,14663321.529751752,17321605.194506712,0,False,True,False,False,False,1
449,404183.317899042,404183.317899042,0.0,0.0,0.0,0,False,False,False,False,True,1
516,209938.8216465894,209938.8216465894,0.0,0.0,0.0,0,False,False,False,False,True,1
356,337824.769274906,337824.769274906,0.0,235870.89935564966,573695.6665565686,0,False,True,False,False,False,1
290,1786218.9413968334,1786218.9413968334,0.0,116226.76630394383,1902445.7077007773,0,False,True,False,False,False,1
242,3139423.35,3139423.35,0.0,0.0,0.0,0,False,False,False,False,True,1
430,461274.8560093152,461274.8560093152,0.0,0.0,0.0,0,False,False,False,False,True,1
397,196966.92,637553.63,834520.55,197896.35,929.43,0,True,False,False,False,False,0
359,2961256.8670508014,2961256.8670508014,0.0,5472312.62347669,8433569.490527492,0,False,True,False,False,False,1
480,137561.34364204976,137561.34364204976,0.0,0.0,137561.34364204976,0,False,True,False,False,False,1
159,7411.68,161.0,0.0,758586.46,765998.14,0,False,True,False,False,False,0
47,827755.0358684349,827755.0358684349,0.0,1024568.7178538017,1852323.7637222365,0,False,True,False,False,False,1
403,304718.96,578.0,0.0,27724.63,332443.59,0,False,True,False,False,False,0
17,199681.65,285696.27,86014.62,1506293.06,1705974.71,0,False,True,False,False,False,0
345,1819190.9321349573,1819190.9321349573,0.0,0.0,1819190.9321349573,0,False,True,False,False,False,1
22,89428.74,10537.56,0.0,223523.16,312951.9,0,False,True,False,False,False,0
403,110907.24,0.0,0.0,380960.1,491867.34,0,False,True,False,False,False,0
610,4217.84,576.0,0.0,0.0,0.0,0,False,False,False,True,False,0
10,39345.69,0.0,0.0,150533.79,189879.48,0,False,True,False,False,False,0
441,1450309.3464500092,1450309.3464500092,0.0,198259.74481324005,1648569.091263249,0,False,True,False,False,False,1
209,316310.31,258826.78,0.0,1272668.52,1588978.83,0,False,True,False,False,False,0
621,1519597.8619871708,1519597.8619871708,0.0,0.0,1519597.8619871708,0,False,True,False,False,False,1
194,73653.35137020487,73653.35137020487,0.0,79965.39461758868,153618.74598779355,0,False,True,False,False,False,1
260,6517.9,15490.0,8972.1,0.0,0.0,0,False,False,False,True,False,0
234,203663.43,52018.0,255681.43,792771.07,589107.64,0,True,False,False,False,False,0
399,246197.69,0.0,0.0,528224.46,801250.82,0,False,True,False,False,False,0
251,206448.21,261994.81,55546.59,862205.8,1068654.02,0,False,True,False,False,False,0
702,240746.27,240746.27,0.0,0.0,0.0,0,False,False,False,False,True,1
40,1052.34,10083.0,9030.66,165745.74,166798.08,0,False,True,False,False,False,0
18,14928.31,107.0,0.0,287361.15,431458.31,0,False,True,False,False,False,0
281,87225.81,0.0,0.0,411054.14,498279.95,0,False,False,False,False,True,0
162,4707.16,237.0,0.0,209972.31,214679.47,0,False,False,True,False,False,0
304,76865.08,453958.0,377092.92,0.0,76865.08,0,False,True,False,False,False,0
432,1122780.7423547867,1122780.7423547867,0.0,0.0,0.0,0,False,False,False,False,True,1
212,203053.52,0.0,0.0,374969.91,578023.44,0,False,True,False,False,False,0
186,2371.77,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
203,3496.94,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
353,839008.91,839008.91,0.0,364600.35,1203609.26,0,False,True,False,False,False,1
15,161828.84,0.0,0.0,1665020.94,1826849.78,0,False,False,False,False,True,0
251,258074.42,929.0,259003.42,0.0,0.0,0,True,False,False,False,False,0
384,1465076.4398153597,1465076.4398153597,0.0,0.0,0.0,0,False,False,False,False,True,1
262,3036.85,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
231,6005.41,31043.23,25037.83,0.0,0.0,0,False,False,False,True,False,0
183,11850.2,52984.0,41133.8,1640261.36,1652111.56,0,False,True,False,False,False,0
562,492283.1839559398,492283.1839559398,0.0,0.0,0.0,0,False,False,False,False,True,1
280,151624.65,28919.0,0.0,0.0,151624.65,0,False,False,False,False,True,0
187,239651.39,0.0,0.0,3483527.46,3723178.84,0,False,True,False,False,False,0
588,15900.19,104363.0,88462.81,88139.22,104039.41,0,False,True,False,False,False,0
559,10000000.0,19637536.66606837,9637536.666068373,0.0,0.0,0,False,False,False,False,True,1
332,301579.42,301579.42,0.0,125555.26,427134.68,0,False,True,False,False,False,1
716,1897921.7,1897921.7,0.0,0.0,0.0,0,False,False,False,False,True,1
543,57204.07,57204.07,0.0,2726027.96,2783232.03,0,False,True,False,False,False,1
142,1003215.5685782455,1003215.5685782455,0.0,1419919.5512715736,2423135.119849819,0,False,True,False,False,False,1
236,207943.54,27778.0,0.0,237619.46,445563.0,0,False,True,False,False,False,0
14,49272.26,411.0,0.0,0.0,49272.26,0,False,True,False,False,False,0
427,225324.05,225324.05,0.0,0.0,0.0,0,False,False,False,False,True,1
261,68563.24,25289.0,0.0,32710.28,101273.51,0,False,True,False,False,False,0
623,1536569.025756185,1536569.025756185,0.0,0.0,0.0,0,False,False,False,False,True,1
34,233926.41,30179.0,0.0,190470.54,424396.94,0,False,True,False,False,False,0
702,3544972.535037331,3544972.535037331,0.0,0.0,0.0,0,False,False,False,False,True,1
187,54379.78,68502.0,14122.22,0.0,54379.78,0,False,True,False,False,False,0
202,141338.78,18210141.23,18351480.01,1347635.52,1206296.74,0,True,False,False,False,False,0
38,10079.42,253737.57,243658.14,0.0,0.0,0,False,False,False,True,False,0
228,3905.94,11441.0,7535.06,0.0,0.0,0,False,False,False,True,False,0
310,5798.427858215482,5798.427858215482,0.0,0.0,5798.427858215482,0,False,True,False,False,False,1
119,202263.03,202263.03,0.0,0.0,0.0,0,False,False,False,False,True,1
95,8941.77,247556.0,238614.23,0.0,0.0,0,False,False,False,True,False,0
287,4680.21,10080.0,5399.79,0.0,0.0,0,False,False,False,True,False,0
307,391676.96,10030.0,0.0,78609.54,470286.5,0,False,False,False,False,True,0
644,306157.8491959423,306157.8491959423,0.0,0.0,306157.8491959423,0,False,True,False,False,False,1
313,2376316.923587867,2376316.923587867,0.0,0.0,0.0,0,False,False,False,False,True,1
203,161682.94,35313.0,0.0,118129.46,441788.4,0,False,True,False,False,False,0
617,10000000.0,10000000.0,0.0,0.0,10000000.0,0,False,True,False,False,False,1
660,10000000.0,23048088.425597858,13048088.425597858,0.0,0.0,0,False,False,False,False,True,1
522,162949.94,243014.73,80064.79,2037751.3,2200701.23,0,False,False,False,False,True,0
485,277485.25,277485.25,0.0,0.0,0.0,0,False,False,False,False,True,1
629,1051018.15,1051018.15,0.0,0.0,0.0,0,False,False,False,False,True,1
554,1049945.8577963307,1049945.8577963307,0.0,0.0,1049945.8577963307,0,False,True,False,False,False,1
300,335118.71,103.0,335221.71,527096.79,191978.08,0,True,False,False,False,False,0
11,24028.51,104356.0,128384.51,0.0,0.0,0,True,False,False,False,False,0
172,9037.85151934024,9037.85151934024,0.0,0.0,0.0,0,False,False,False,False,True,1
119,797829.8691297277,797829.8691297277,0.0,5553439.069940006,6351268.932890698,0,False,True,False,False,False,1
140,56802.81,42158.0,98960.81,200222.51,143419.69,0,True,False,False,False,False,0
278,160249.23,63231.0,223480.23,210113.06,49863.83,0,True,False,False,False,False,0
322,6706.04,0.0,0.0,209624.93,216330.97,0,False,True,False,False,False,0
40,189311.12,0.0,0.0,199483.52,388794.64,0,False,True,False,False,False,0
523,160368.57110114058,160368.57110114058,0.0,2427896.9016775065,2588265.4827310564,0,False,True,False,False,False,1
35,121278.15,1741908.24,1863186.39,344042.99,630578.51,0,True,False,False,False,False,0
453,134725.66,134725.66,0.0,0.0,0.0,0,False,False,False,False,True,1
487,340267.34106411133,340267.34106411133,0.0,0.0,0.0,0,False,False,False,False,True,1
11,147918.21,4073362.66,3925444.46,163443.19,311361.39,0,False,True,False,False,False,0
503,107182.97309007449,107182.97309007449,0.0,0.0,0.0,0,False,False,False,False,True,1
94,2169679.91,2169679.91,0.0,0.0,0.0,0,False,False,False,False,True,1
211,3728915.0612279135,3728915.0612279135,0.0,469775.30792802514,4198690.377529877,0,False,True,False,False,False,1
211,5527.34,185796.62,180269.28,0.0,0.0,0,False,False,False,True,False,0
235,26716.79,965.0,0.0,0.0,0.0,0,False,False,False,True,False,0
327,273177.6,84107.5,0.0,422616.37,695793.97,0,False,True,False,False,False,0
154,3185.08,4090.0,904.92,0.0,0.0,0,False,False,False,True,False,0
118,1761396.0069123008,1761396.0069123008,0.0,9423.26276186722,1770819.2696741682,0,False,True,False,False,False,1
167,279728.8,279728.8,0.0,0.0,0.0,0,False,False,False,False,True,1
13,454859.39,0.0,0.0,0.0,454859.39,0,False,True,False,False,False,1
252,513346.14,39804.0,0.0,0.0,740451.14,0,False,True,False,False,False,0
283,101515.68,101515.68,0.0,0.0,0.0,0,False,False,False,False,True,1
400,93142.29,0.0,0.0,1255549.57,1348691.87,0,False,True,False,False,False,0
211,1330802.24,1330802.24,0.0,151341.34,1515187.24,0,False,True,False,False,False,1
282,60837.62,3127.0,0.0,0.0,60837.62,0,False,True,False,False,False,0
21,83481.98,0.0,0.0,4871021.66,4954503.64,0,False,True,False,False,False,0
306,403367.73,10017512.34,10420880.07,3663294.41,3259926.68,0,True,False,False,False,False,0
187,5119.43,139153.26,134033.83,0.0,0.0,0,False,False,False,True,False,0
21,305722.29,0.0,0.0,831189.09,1136911.38,0,False,True,False,False,False,0
138,114655.61,1414170.06,1528825.67,804570.51,689914.9,0,True,False,False,False,False,0
226,7069.71,0.0,0.0,0.0,0.0,0,False,False,False,True,False,0
525,10000000.0,10000000.0,0.0,2377260.849926771,12377260.849926772,0,False,True,False,False,False,1
710,10000000.0,27418265.31,17418265.31,0.0,0.0,0,False,False,False,False,True,1
652,740124.95,740124.95,0.0,0.0,0.0,0,False,False,False,False,True,1
579,1540624.7,1540624.7,0.0,0.0,0.0,0,False,False,False,False,True,1
155,610298.74,0.0,0.0,8681506.42,9291805.16,0,False,False,False,False,True,0
8,34952.223954553134,34952.223954553134,0.0,705962.4107720009,1142871.3912144795,0,False,True,False,False,False,1
629,8488865.83,8488865.83,0.0,0.0,0.0,0,False,False,False,False,True,1
401,58350.0,0.0,0.0,15430015.71,15488365.71,0,False,True,False,False,False,0
10,2138525.59,763115.88,0.0,5849646.96,8400678.92,0,False,False,False,False,True,0
186,369785.42,0.0,0.0,2123872.82,2493658.24,0,False,True,False,False,False,0
268,754874.26,754874.26,0.0,0.0,754874.26,0,False,True,False,False,False,1
145,3572736.74,3572736.74,0.0,0.0,0.0,0,False,False,False,False,True,1
422,179130.53020136268,179130.53020136268,0.0,66001.28891144544,245131.8191128081,0,False,True,False,False,False,1
311,4522.3,9991.0,5468.7,0.0,0.0,0,False,False,False,True,False,0
438,929679.0910271625,929679.0910271625,0.0,0.0,929679.0910271625,0,False,True,False,False,False,1
124,9009.973104021803,9009.973104021803,0.0,0.0,0.0,0,False,False,False,False,True,1
302,2020181.9072912692,2020181.9072912692,0.0,0.0,0.0,0,False,False,False,False,True,1
46,7874.05,378.0,0.0,0.0,0.0,0,False,False,False,True,False,0
366,1846748.79,1846748.79,0.0,158690.24,2005439.03,0,False,True,False,False,False,1
43,21987.0,21987.0,0.0,123690.93,145677.94,0,False,True,False,False,False,1
575,130479.52,130479.52,0.0,204819.94,335299.46,0,False,True,False,False,False,1
210,122426.5,9171592.98,9294019.47,221166.03,98739.53,0,True,False,False,False,False,0
688,8836.192622465323,8836.192622465323,0.0,0.0,0.0,0,False,False,False,False,True,1
564,1246169.57,1246169.57,0.0,4197204.09,5443373.66,0,False,True,False,False,False,1
324,125219.6,4188.0,0.0,3840399.58,3965619.18,0,False,True,False,False,False,0
610,52541.98731046323,52541.98731046323,0.0,0.0,52541.98731046323,0,False,True,False,False,False,1
41,46160.48,253204.0,207043.52,0.0,46160.48,0,False,True,False,False,False,0
44,230350.87,4088.0,234438.87,0.0,0.0,0,True,False,False,False,False,0
22,239646.72,239646.72,0.0,2208970.26,2448616.98,0,False,True,False,False,False,1
717,751854.42,751854.42,0.0,0.0,0.0,0,False,False,False,False,True,1
316,8107.470386262827,8107.470386262827,0.0,0.0,0.0,0,False,False,False,False,True,1
616,196057.0107127126,196057.0107127126,0.0,1636324.9300459002,1832381.9394831243,0,False,True,False,False,False,1
450,442791.6386774239,442791.6386774239,0.0,0.0,442791.6386774239,0,False,True,False,False,False,1
